,movie,location,year,year_group,latitude,longitude
45,Anything Else (2003),"Charles Street and Bleecker Street, Greenwich Village, Manhattan.",2003,2000s,40.7346503,-74.0047767
46,Anything Else (2003),"Les Pierre Antiques, 369 Bleecker Street and Charles Street, Manhattan.",2003,2000s,40.7346503,-74.0047767
47,Anything Else (2003),"East River, near Queensboro Bridge, Manhattan.",2003,2000s,40.7573829,-73.9555423
48,Anything Else (2003),"H B Studio Inc, 120 Bank Street and Greenwich Street, Manhattan.",2003,2000s,40.7227909,-74.0096582
49,Anything Else (2003),"Quad Cinema, 34 West 13th Street (btw 5th and 6th Avenues) Manhattan.",2003,2000s,40.7830603,-73.9712488
50,Anything Else (2003),"Brownstone, 441 East 87th Street (btw 1st Avenue & York Avenue) Manhattan.",2003,2000s,40.7694491,-73.951862
51,Anything Else (2003),"Sant Ambroeus Restaurant, 1000 Madison Avenue and East 78th Street, Manhattan.",2003,2000s,40.7726606,-73.9555581
52,Anything Else (2003),"Madison Avenue and East 78th Street, Manhattan.",2003,2000s,40.7756496,-73.9626297
53,Antz (1998),"Sheep Meadow, Central Park (btw 66th and 69th Street) Manhattan.",1998,1990s,40.767812,-73.962014
54,Another Woman (1988),"Bedford Street and Barrow Street, Greenwich Village, Manhattan.",1988,1980s,40.7318564,-74.0051039
55,Another Woman (1988),"Barrow Street and Commerce Street, Greenwich Village, Manhattan.",1988,1980s,40.731642,-74.0061982
56,Another Woman (1988),"Cherry Lane Theatre, 38 Commerce Street and Bedford Street, Manhattan.",1988,1980s,40.7307284,-74.0044668
57,The Anomaly (2014),"(Side Entrance) 72 Walker Street and Cortlandt Alley, Manhattan.",2014,2010s,40.717786,-74.0022791
58,The Anomaly (2014),"Cortlandt Alley and White Street, Manhattan.",2014,2010s,40.7176963,-74.0023399
59,The Anomaly (2014),"Times Square, Manhattan.",2014,2010s,40.759011,-73.9844722
60,Annie Hall (1977),"Annie Hall's Apartment, East 68th Street and Madison Avenue, Manhattan.",1977,1970s,40.7773054,-73.9614006
61,Annie Hall (1977),East 66th Street (btw 2nd and 3rd Avenue) Manhattan.,1977,1970s,40.7684404,-73.9615733
62,Annie Hall (1977),"Pier 11, East River, Manhattan.",1977,1970s,40.7830603,-73.9712488
63,Annie Hall (1977),"West 63rd Street and Columbus Avenue, Manhattan.",1977,1970s,40.7717344,-73.9829555
64,Annie (2014),"School, East 11th Street (btw Avenue A and 1st Avenue) Manhattan.",2014,2010s,40.7229941,-73.9885251
65,Annie (2014),"Subway, Franklin Street and West Broadway, Manhattan.",2014,2010s,40.720076,-74.0056711
66,Annie (2014),"Anchorage Place and Plymouth Street, Brooklyn.",2014,2010s,40.7038159,-73.9883077
67,Annie (2014),"Lexington Avenue and East 116th Street, East Harlem.",2014,2010s,40.7986353,-73.941628
68,Annie (2014),"Cortlandt Alley and Walker Street, Manhattan.",2014,2010s,40.7183168,-74.0018397
69,Annie (2014),Walker Street (btw Broadway and Cortlandt Alley) Manhattan.,2014,2010s,40.717786,-74.0022791
70,Annie (2014),"Ms. Hannigan Apartment, 366 West 127th Street and St. Nicholas Terrace, Harlem.",2014,2010s,40.8168462,-73.9500553
71,Annie (2014),"250 Greenwich Street and Barclay Street, Manhattan.",2014,2010s,40.7136509,-74.0116672
72,Annie (2014),"Will Stacks' Apartment, 150 Greenwich Street and Liberty Street, Manhattan.",2014,2010s,40.709733,-74.0117711
73,Annie (2014),"Beacon Theatre, 2124 Broadway and West 74th Street, Manhattan.",2014,2010s,40.7775456,-73.9750068
74,Annie (2014),"West 4th Street and West 12th Street, Manhattan.",2014,2010s,40.7375376,-74.0038985
75,Annie (2014),"Downtown Manhattan Heliport, 6 East River Piers, Manhattan.",2014,2010s,40.7830603,-73.9712488
76,Annie (2014),"Guggenheim Museum, 1071 5th Avenue and East 89th Street, Manhattan.",2014,2010s,40.7798082,-73.9503372
77,Annie (2014),"10th Avenue and West 55th Street, Manhattan.",2014,2010s,40.7678074,-73.9894966
78,Annie (2014),"Roosevelt Avenue and 55th Streets, Elmhurst, Queens.",2014,2010s,40.7449561,-73.9095843
79,Annie (2014),"Cafe Cluny, 284 West 12th Street and West 4th Street, Manhattan.",2014,2010s,40.7336421,-74.0026047
80,Annie (2014),"Shop, 357 West 127th Street and St Nicholas Terrace, Harlem.",2014,2010s,40.8168462,-73.9500553
81,Annie (2014),"Liberty State Park, Upper New York Bay, New Jersey",2014,2010s,40.0583238,-74.4056612
82,Annie (2014),"East Harlem School, 309 East 103rd Street (btw 1st and 2nd Avenues) East Harlem.",2014,2010s,40.7957399,-73.9389213
83,Annie (1982),"Radio City Music Hall, 1260 6th Avenue and West 50th Street, Manhattan.",1982,1980s,40.7627781,-73.9872089
84,Where the Sidewalk Ends (1950),"Times Square, Manhattan.",1950,1950s,40.759011,-73.9844722
85,Zoolander (2001),"Times Square, Manhattan.",2001,2000s,40.759011,-73.9844722
86,Zoolander (2001),"Derek Zoolander's Apartment, 80 Greene Street and Spring Street, Manhattan.",2001,2000s,41.4304236,-87.9883293
87,Zoolander (2001),"West Broadway and North Moore Street, Manhattan.",2001,2000s,40.7196776,-74.0059809
88,Zoolander (2001),"Sports Museum of America, 26 Broadway and Beaver Street, Manhattan.",2001,2000s,40.7051474,-74.0100295
89,You've Got Mail (1998),"Kathleen Kelly's Apartment, 328 West 89th Street and Riverside Drive, Manhattan.",1998,1990s,40.8158821,-73.9623705
90,You've Got Mail (1998),"Joe's Apartment, 210 Riverside Drive and West 93rd Street, Manhattan.",1998,1990s,40.7921354,-73.9717984
91,You've Got Mail (1998),"West End Avenue and West 85th Street, Manhattan.",1998,1990s,40.7882111,-73.9783636
92,You've Got Mail (1998),Broadway (btw West 83rd and 84th Streets) Manhattan.,1998,1990s,40.776592,-73.9527726
93,You've Got Mail (1998),Broadway (btw West 81st and 82nd Streets) Manhattan.,1998,1990s,40.7752992,-73.9536403
94,You've Got Mail (1998),Broadway (btw West 80th and 81st Streets) Manhattan.,1998,1990s,40.7844744,-73.9773671
95,You've Got Mail (1998),"Starbucks Coffee, 2252 Broadway and West 81st Street, Manhattan.",1998,1990s,40.7844744,-73.9773671
96,You've Got Mail (1998),"Verdi Square, West 72nd Street and Broadway, Manhattan.",1998,1990s,40.7786099,-73.9816265
97,You've Got Mail (1998),"Columbus Avenue and West 70th Street, Manhattan.",1998,1990s,40.7761118,-73.9797749
98,You've Got Mail (1998),"Book Shop, 106 West 69th Street and Columbus Avenue, Manhattan.",1998,1990s,40.7854736,-73.9729361
99,You've Got Mail (1998),"West 80th Street and Broadway, Manhattan.",1998,1990s,40.7845008,-73.9793935
100,You've Got Mail (1998),"Barney Greengrass, 541 Amsterdam Avenue and West 86th Street, Manhattan.",1998,1990s,40.7876872,-73.9750135
101,You've Got Mail (1998),"79th Street Boat Basin, Hudson River, Manhattan.",1998,1990s,40.7830603,-73.9712488
102,You've Got Mail (1998),West 94th Street (btw Columbus Avenue & Central Park West) Manhattan.,1998,1990s,40.7828647,-73.9653551
103,You've Got Mail (1998),"Fox Books Store, West 17th Street and 7th Avenue, Manhattan.",1998,1990s,40.73658,-74.0011456
104,You've Got Mail (1998),"Zabars, 2245 Broadway and West 80th Street, Manhattan.",1998,1990s,40.7838387,-73.9778271
105,You've Got Mail (1998),"Cafe Lalo, 201 West 83rd Street and Amsterdam Avenue, Manhattan.",1998,1990s,40.8134133,-73.9562303
106,You've Got Mail (1998),"Riverside Drive and West 111th Street, Manhattan.",1998,1990s,40.8054722,-73.9677045
107,You've Got Mail (1998),"Hudson River Greenway, Manhattan.",1998,1990s,40.7884993,-73.9823329
108,You've Got Mail (1998),"Ocean Grill, 382 Columbus Avenue (btw West 78th and 79th Streets) Manhattan.",1998,1990s,40.773338,-73.9550579
109,You've Got Mail (1998),"Gray's Papaya, 2090 Broadway (btw Amsterdam Avenue and 72nd Street) Manhattan.",1998,1990s,40.7697512,-73.9605925
110,You've Got Mail (1998),West 78th Street (btw Columbus Avenue & Amsterdam Avenue) Manhattan.,1998,1990s,40.8134133,-73.9562303
111,You've Got Mail (1998),"91st Street Garden, Riverside Park (btw West 90th & 91st Street) Manhattan.",1998,1990s,40.7814746,-73.9503554
112,You Stupid Man (2002),"Commerce Street and Bedford Street, Manhattan.",2002,2000s,40.7315597,-74.0049389
113,You Stupid Man (2002),"Pierre Hotel, 5th Avenue & East 61st Street, Manhattan.",2002,2000s,40.7628086,-73.965688
114,You Stupid Man (2002),"Washington Square Gardens, Greenwich Village, Manhattan.",2002,2000s,40.7314658,-73.9970956
115,You Stupid Man (2002),"Battery Park, Manhattan.",2002,2000s,40.7032775,-74.0170279
116,You Stupid Man (2002),"Bow Bridge (Mid-Park at 74th Street) Central Park, Manhattan.",2002,2000s,40.7775456,-73.9750068
117,You Stupid Man (2002),"6th Avenue and West 50th Street, Manhattan.",2002,2000s,40.7598896,-73.9804421
118,You Stupid Man (2002),"Ellipsis Cafe, 505 College Street and Palmerston Avenue, Toronto.",2002,2000s,43.6512322,-79.4082082
119,You're Nobody 'til Somebody Kills You (2012),"Times Square, Manhattan.",2012,2010s,40.759011,-73.9844722
120,You're a Big Boy Now (1966),"New York Public Library, 5th Avenue (btw 40th and 42nd Street) Manhattan.",1966,1960s,40.7127837,-74.0059413
121,You're a Big Boy Now (1966),"Times Square, Manhattan.",1966,1960s,40.759011,-73.9844722
122,You're a Big Boy Now (1966),"Sheep Meadow, Central Park (btw 66th and 69th Street) Manhattan.",1966,1960s,40.767812,-73.962014
123,You're a Big Boy Now (1966),"Bandshell, Central Park (from 66th to 72nd Street) Manhattan.",1966,1960s,40.7697512,-73.9605925
124,You're a Big Boy Now (1966),"Central Park Zoo, Central Park, Manhattan.",1966,1960s,40.7711329,-73.9741874
125,You're a Big Boy Now (1966),"Conservatory Water, Central Park (from 72nd to 75th Street) Manhattan.",1966,1960s,40.7707563,-73.9569408
126,You're a Big Boy Now (1966),"Alice in Wonderland, Central Park (East 74th Street) Manhattan.",1966,1960s,40.7701235,-73.9574128
127,You're a Big Boy Now (1966),"Cherry Lane Theatre, 38 Commerce Street and Bedford Street, Manhattan.",1966,1960s,40.7307284,-74.0044668
128,You're a Big Boy Now (1966),"Washington Square Gardens, Greenwich Village, Manhattan.",1966,1960s,40.7314658,-73.9970956
129,You're a Big Boy Now (1966),"(Near) Pennsylvania Station, 8th Avenue and West 34th Street, Manhattan.",1966,1960s,40.7530734,-73.9955337
130,You're a Big Boy Now (1966),"5th Avenue and West 39th Street, Manhattan.",1966,1960s,40.7515863,-73.9822815
131,You Don't Mess with the Zohan (2008),"Hair Salon, 5th Avenue and East 53rd Street, Manhattan.",2008,2000s,40.757781,-73.9695726
132,You Don't Mess with the Zohan (2008),"Park Avenue and East 52nd Street, Manhattan.",2008,2000s,40.7583897,-73.9729519
133,You Don't Mess with the Zohan (2008),"Greywacke Arch, Central Park, Manhattan.",2008,2000s,40.7711329,-73.9741874
134,You Don't Mess with the Zohan (2008),"Sheep Meadow, Central Park (btw 66th and 69th Street) Manhattan.",2008,2000s,40.767812,-73.962014
135,X/Y (2014),"Manhattan Bridge, East River, Lower Manhattan.",2014,2010s,40.7205751,-73.9733626
136,X/Y (2014),"Subway Station, Bleecker Street and Mulberry Street, Manhattan.",2014,2010s,40.7193269,-73.9973174
137,XX/XY (2002),"Washington Square Gardens, Greenwich Village, Manhattan.",2002,2000s,40.7314658,-73.9970956
138,XX/XY (2002),"Cafe, 108 Duane Street (btw Trimble Place & Broadway) Manhattan.",2002,2000s,40.759011,-73.9844722
139,XX/XY (2002),80 Leonard Street (btw Church Street and Broadway) Manhattan.,2002,2000s,40.759011,-73.9844722
140,X-Men (2000),"Statue of Liberty, Liberty Island, New York Harbor.",2000,2000s,,
141,The Wrong Man (1956),"Stork Club, 3 East 53rd Street and 5th Avenue, Manhattan.",1956,1950s,40.774734,-73.9653844
142,The Wrong Man (1956),"Subway Station, East 53rd Street and 5th Avenue, Manhattan.",1956,1950s,40.774734,-73.9653844
143,World Trade Center (2006),"Staten Island Ferry, New York Harbour.",2006,2000s,40.644189,-74.0725305
144,World Trade Center (2006),"Port Authority Bus Terminal, 625 8th Avenue and West 42nd Street, Manhattan.",2006,2000s,40.758034,-73.9917031
145,World Trade Center (2006),"World Trade Center, Financial, Manhattan.",2006,2000s,40.7134088,-74.011926
146,The World of Henry Orient (1964),"East 47th Street and 1st Avenue, Manhattan.",1964,1960s,40.7518401,-73.9674725
147,The World of Henry Orient (1964),"East 83rd Street and East End Avenue, Manhattan.",1964,1960s,40.7729938,-73.9461972
148,The World of Henry Orient (1964),"(Near East River) East 83rd Street and East End Avenue, Manhattan.",1964,1960s,40.7736925,-73.9456902
149,The World of Henry Orient (1964),"Conservatory Water Central Park, (from 72nd to 75th Street) Manhattan.",1964,1960s,40.7707563,-73.9569408
150,The World of Henry Orient (1964),"Alice in Wonderland, Central Park (East 74th Street) Manhattan.",1964,1960s,40.7701235,-73.9574128
151,The World of Henry Orient (1964),"Bow Bridge (Mid-Park at 74th Street) Central Park, Manhattan.",1964,1960s,40.7775456,-73.9750068
152,The World of Henry Orient (1964),"Washington Mews and 5th Avenue, Manhattan.",1964,1960s,40.7318461,-73.9966758
153,The World of Henry Orient (1964),"Washington Square North, Greenwich Village, Manhattan.",1964,1960s,40.7314658,-73.9970956
154,The World of Henry Orient (1964),"Washington Square Gardens, Greenwich Village, Manhattan.",1964,1960s,40.7314658,-73.9970956
155,The World of Henry Orient (1964),"10 Grove Street and Bedford Street, Manhattan.",1964,1960s,40.7324601,-74.0054566
156,The World of Henry Orient (1964),"The Mall, Central Park, Manhattan.",1964,1960s,40.7723522,-73.9715901
157,Working Girl (1988),"Statue of Liberty, Liberty Island, New York Harbor.",1988,1980s,,
158,Working Girl (1988),"Staten Island Ferry, New York Harbour.",1988,1980s,40.644189,-74.0725305
159,Working Girl (1988),"Tess's Workplace, 1 New York Plaza, Water Street and Broad Street, Manhattan.",1988,1980s,40.704464,-74.0115861
160,Working Girl (1988),"Carnegie Hill Mansion, 2 East 91st Street and 5th Avenue, Manhattan.",1988,1980s,40.774734,-73.9653844
161,Working Girl (1988),"South Street Seaport, East River, Manhattan.",1988,1980s,40.7830603,-73.9712488
162,Working Girl (1988),"Katherine's Brownstone, 80 Irving Place and East 19th Street, Manhattan.",1988,1980s,40.737027,-73.9865473
163,Working Girl (1988),"Apartment, 506 Richmond Terrace and York Avenue, Staten Island.",1988,1980s,40.6464625,-74.0892994
164,Working Girl (1988),"St. Stanislaus Kostka, 109 York Avenue, Staten Island.",1988,1980s,40.643835,-74.087141
165,Woo (1998),"West 42nd Street and 6th Avenue, Manhattan.",1998,1990s,40.7548529,-73.9841244
166,Woo (1998),5th Avenue (btw East 49th and 50th Streets) Manhattan.,1998,1990s,40.7627781,-73.9872089
167,Woo (1998),"Washington Square Gardens, Greenwich Village, Manhattan.",1998,1990s,40.7314658,-73.9970956
168,The Women (2008),"Saks Department Store, 5th Avenue and East 50th Street, Manhattan.",2008,2000s,40.7558356,-73.970781
169,The Wolf of Wall Street (2013),"Nassau Street and Wall Street, Manhattan.",2013,2010s,40.7071433,-74.0107108
170,The Wolf of Wall Street (2013),"Restaurant, 666 5th Avenue and West 52nd Street, Manhattan.",2013,2010s,40.7635447,-73.9851925
171,The Wolf of Wall Street (2013),"Rao's, 455 East 114th Street and Pleasant Avenue, Harlem.",2013,2010s,40.7957325,-73.9326694
172,The Wolf of Wall Street (2013),North Cove Marina (Near World Trade Center) Manhattan.,2013,2010s,40.7118011,-74.0131196
173,The Wolf of Wall Street (2013),"26 Federal Plaza on Broadway and Thomas Street, Manhattan.",2013,2010s,40.7165408,-74.0066957
174,The Wolf of Wall Street (2013),"(Near) Trump Tower, 725 5th Avenue and East 56th Street, Manhattan.",2013,2010s,40.7596085,-73.9680746
175,The Wolf of Wall Street (2013),"Shalimar Diner, 6368 Austin Street, Flushing, Queens.",2013,2010s,40.7273515,-73.8640608
176,The Wolf of Wall Street (2013),"Equitable Building, 120 Broadway and Pine Street, Manhattan.",2013,2010s,45.8573817,-111.3230019
177,The Wolf of Wall Street (2013),"Milan Condominium, 300 East 55th Street (btw 1st and 2nd Avenues) Manhattan.",2013,2010s,40.7830603,-73.9712488
178,The Wolf of Wall Street (2013),"The Four Seasons Restaurant, 99 East 52nd Street & Park Avenue, Manhattan.",2013,2010s,40.7779534,-73.9589565
179,Wolfen (1981),"Brooklyn Bridge, Lower East Side, Manhattan.",1981,1980s,40.7047531,-73.9953261
180,Wolfen (1981),"Battery Park, Manhattan.",1981,1980s,40.7032775,-74.0170279
181,Wolfen (1981),"Pedestrian Tunnel, (near Children's Zoo) Central Park, Manhattan.",1981,1980s,40.7711329,-73.9741874
182,Wolfen (1981),"Manhattan Bridge, East River, Lower Manhattan.",1981,1980s,40.7205751,-73.9733626
183,Wolfen (1981),"Federal Hall, Wall Street, Manhattan.",1981,1980s,40.7073993,-74.0102088
184,Wolf (1994),"East 14th Street and Broadway, Manhattan.",1994,1990s,40.7347947,-73.9907782
185,Wolf (1994),"Mayflower Hotel, 15 Central Park West and 61st Street, Manhattan.",1994,1990s,40.7628086,-73.965688
186,The Wiz (1978),"World Trade Center, Financial, Manhattan.",1978,1970s,40.7134088,-74.011926
187,Winter's Tale (2014),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",2014,2010s,40.7779534,-73.9589565
188,Winter's Tale (2014),"(Near) Mayor's Office, 51 Chambers Street and Centre Street, Manhattan.",2014,2010s,40.7163828,-74.0012118
189,Winter's Tale (2014),"Bandshell, Central Park (from 66th to 72nd Street) Manhattan.",2014,2010s,40.7697512,-73.9605925
190,Winter's Tale (2014),"The Mall, Central Park, Manhattan.",2014,2010s,40.7723522,-73.9715901
191,Winter's Tale (2014),"New York Sun, 292 West 41st Street and 8th Avenue, Manhattan.",2014,2010s,40.8165192,-73.9465432
192,Winter's Tale (2014),53 Prospect Park West (btw 1st & 2nd Streets) Brooklyn.,2014,2010s,42.855731,-89.3742259
193,Winter's Tale (2014),"New York Public Library, 5th Avenue (btw 40th and 42nd Street) Manhattan.",2014,2010s,40.7127837,-74.0059413
194,Winter's Tale (2014),"Gramercy Theatre, 127 East 23rd Street and Lexington Avenue, Manhattan.",2014,2010s,40.773008,-73.96032
195,Winter's Tale (2014),Gansevoort Street (btw Greenwich & Washington Streets) Manhattan.,2014,2010s,39.2732455,-96.5862065
196,Winter's Tale (2014),"(Near) Brooklyn Bridge, Lower East Side, Manhattan.",2014,2010s,40.7047531,-73.9953261
197,Winter Passing (2005),"Pink Pony Cafe, 176 Ludlow Street and Stanton Street, Manhattan.",2005,2000s,40.720757,-73.9861608
198,Winter Passing (2005),"Ludlow Street and Stanton Street, Manhattan.",2005,2000s,40.7212429,-73.9877741
199,Winter Passing (2005),"Commerce Street and Barrow Street, Manhattan.",2005,2000s,40.731642,-74.0061982
200,Willie and Phil (1980),"Cinema, 144 Bleecker Street and Laguardia Place, Manhattan.",1980,1980s,40.7280718,-73.9989723
201,Willie and Phil (1980),"Washington Square Gardens, Greenwich Village, Manhattan.",1980,1980s,40.7314658,-73.9970956
202,Willie and Phil (1980),"George Washington Bridge, Manhattan.",1980,1980s,40.8495457,-73.9424123
203,Willie and Phil (1980),"6th Avenue and West 3rd Street, Manhattan.",1980,1980s,40.7310719,-74.0014265
204,Willie and Phil (1980),"Sheridan Square and Grove Street, Manhattan.",1980,1980s,40.7333645,-74.0025786
205,Wild Orchid (1989),"Top of the Rock, 45 Rockefeller Plaza, Manhattan.",1989,1980s,40.7591523,-73.9777136
206,Wild Orchid (1989),"West 47th Street and 6th Avenue, Manhattan.",1989,1980s,40.7580271,-73.9818061
207,Who's That Girl (1987),"Trump Tower, Madison Avenue (btw West 56th and 57th Street) Manhattan.",1987,1980s,40.76729,-73.9841856
208,Who's That Girl (1987),"324 West 105th Street and Riverside Drive, Manhattan.",1987,1980s,40.8016022,-73.9705556
209,Who's That Girl (1987),"5th Avenue and East 83rd Street, Manhattan.",1987,1980s,40.7795899,-73.9618385
210,Who's That Girl (1987),"Wendy Worthington's Apartment, 16 East 94th Street & 5th Avenue, Manhattan.",1987,1980s,40.774734,-73.9653844
211,Who's That Girl (1987),"East 94th Street and 5th Avenue, Manhattan.",1987,1980s,40.7866108,-73.9567249
212,Whore 2 (1994),"Port Authority Bus Terminal, 625 8th Avenue and West 42nd Street, Manhattan.",1994,1990s,40.758034,-73.9917031
213,Whore 2 (1994),"Playground, West 46th Street (btw 9th and 10th Avenues) Manhattan.",1994,1990s,,
214,Whore 2 (1994),"406 West 48th Street and 9th Avenue, Manhattan.",1994,1990s,40.7622465,-73.9898985
215,Whore 2 (1994),"Hotel, 408 West 48th Street and 9th Avenue, Manhattan.",1994,1990s,40.7692123,-73.9847724
216,Whore 2 (1994),West 48th Street (btw 9th and 10th Avenues) Manhattan.,1994,1990s,40.7830603,-73.9712488
217,White Slaves of Chinatown (1964),East Broadway (btw Catherine Street and Market Street) Manhattan.,1964,1960s,40.71231,-73.9943508
218,White Slaves of Chinatown (1964),"Olga's Apartment, 22 East Broadway and Catherine Street, Manhattan.",1964,1960s,40.7120794,-73.9969256
219,Whirlygirl (2006),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",2006,2000s,40.7779534,-73.9589565
220,Whipped (2000),"Market, 1291 Madison Avenue and East 92nd Street, Manhattan.",2000,2000s,40.7824597,-73.9508414
221,Whipped (2000),"Battery Park, Manhattan.",2000,2000s,40.7032775,-74.0170279
222,Whipped (2000),"Wythe Avenue and North 3rd Street, Brooklyn.",2000,2000s,40.717271,-73.962851
223,Whipped (2000),"Relish Diner, 225 Wythe Avenue and North 3rd Street, Brooklyn.",2000,2000s,38.6591331,-90.1691563
224,Whipped (2000),"Washington Square Gardens, Greenwich Village, Manhattan.",2000,2000s,40.7314658,-73.9970956
225,Whipped (2000),"Subway, Battery Place and Broadway, Manhattan.",2000,2000s,40.759011,-73.9844722
226,Whipped (2000),"Magazine Shop, 551 Hudson Street and Perry Street, Manhattan.",2000,2000s,40.7352161,-74.0055169
