,movie,location,year,year_group
84,Where the Sidewalk Ends (1950),"Times Square, Manhattan.",1950,1950s
85,Zoolander (2001),"Times Square, Manhattan.",2001,2000s
86,Zoolander (2001),"Derek Zoolander's Apartment, 80 Greene Street and Spring Street, Manhattan.",2001,2000s
87,Zoolander (2001),"West Broadway and North Moore Street, Manhattan.",2001,2000s
88,Zoolander (2001),"Sports Museum of America, 26 Broadway and Beaver Street, Manhattan.",2001,2000s
89,You've Got Mail (1998),"Kathleen Kelly's Apartment, 328 West 89th Street and Riverside Drive, Manhattan.",1998,1990s
90,You've Got Mail (1998),"Joe's Apartment, 210 Riverside Drive and West 93rd Street, Manhattan.",1998,1990s
91,You've Got Mail (1998),"West End Avenue and West 85th Street, Manhattan.",1998,1990s
92,You've Got Mail (1998),Broadway (btw West 83rd and 84th Streets) Manhattan.,1998,1990s
93,You've Got Mail (1998),Broadway (btw West 81st and 82nd Streets) Manhattan.,1998,1990s
94,You've Got Mail (1998),Broadway (btw West 80th and 81st Streets) Manhattan.,1998,1990s
95,You've Got Mail (1998),"Starbucks Coffee, 2252 Broadway and West 81st Street, Manhattan.",1998,1990s
96,You've Got Mail (1998),"Verdi Square, West 72nd Street and Broadway, Manhattan.",1998,1990s
97,You've Got Mail (1998),"Columbus Avenue and West 70th Street, Manhattan.",1998,1990s
98,You've Got Mail (1998),"Book Shop, 106 West 69th Street and Columbus Avenue, Manhattan.",1998,1990s
99,You've Got Mail (1998),"West 80th Street and Broadway, Manhattan.",1998,1990s
100,You've Got Mail (1998),"Barney Greengrass, 541 Amsterdam Avenue and West 86th Street, Manhattan.",1998,1990s
101,You've Got Mail (1998),"79th Street Boat Basin, Hudson River, Manhattan.",1998,1990s
102,You've Got Mail (1998),West 94th Street (btw Columbus Avenue & Central Park West) Manhattan.,1998,1990s
103,You've Got Mail (1998),"Fox Books Store, West 17th Street and 7th Avenue, Manhattan.",1998,1990s
104,You've Got Mail (1998),"Zabars, 2245 Broadway and West 80th Street, Manhattan.",1998,1990s
105,You've Got Mail (1998),"Cafe Lalo, 201 West 83rd Street and Amsterdam Avenue, Manhattan.",1998,1990s
106,You've Got Mail (1998),"Riverside Drive and West 111th Street, Manhattan.",1998,1990s
107,You've Got Mail (1998),"Hudson River Greenway, Manhattan.",1998,1990s
108,You've Got Mail (1998),"Ocean Grill, 382 Columbus Avenue (btw West 78th and 79th Streets) Manhattan.",1998,1990s
109,You've Got Mail (1998),"Gray's Papaya, 2090 Broadway (btw Amsterdam Avenue and 72nd Street) Manhattan.",1998,1990s
110,You've Got Mail (1998),West 78th Street (btw Columbus Avenue & Amsterdam Avenue) Manhattan.,1998,1990s
111,You've Got Mail (1998),"91st Street Garden, Riverside Park (btw West 90th & 91st Street) Manhattan.",1998,1990s
112,You Stupid Man (2002),"Commerce Street and Bedford Street, Manhattan.",2002,2000s
113,You Stupid Man (2002),"Pierre Hotel, 5th Avenue & East 61st Street, Manhattan.",2002,2000s
114,You Stupid Man (2002),"Washington Square Gardens, Greenwich Village, Manhattan.",2002,2000s
115,You Stupid Man (2002),"Battery Park, Manhattan.",2002,2000s
116,You Stupid Man (2002),"Bow Bridge (Mid-Park at 74th Street) Central Park, Manhattan.",2002,2000s
117,You Stupid Man (2002),"6th Avenue and West 50th Street, Manhattan.",2002,2000s
118,You Stupid Man (2002),"Ellipsis Cafe, 505 College Street and Palmerston Avenue, Toronto.",2002,2000s
119,You're Nobody 'til Somebody Kills You (2012),"Times Square, Manhattan.",2012,2010s
120,You're a Big Boy Now (1966),"New York Public Library, 5th Avenue (btw 40th and 42nd Street) Manhattan.",1966,1960s
121,You're a Big Boy Now (1966),"Times Square, Manhattan.",1966,1960s
122,You're a Big Boy Now (1966),"Sheep Meadow, Central Park (btw 66th and 69th Street) Manhattan.",1966,1960s
123,You're a Big Boy Now (1966),"Bandshell, Central Park (from 66th to 72nd Street) Manhattan.",1966,1960s
124,You're a Big Boy Now (1966),"Central Park Zoo, Central Park, Manhattan.",1966,1960s
125,You're a Big Boy Now (1966),"Conservatory Water, Central Park (from 72nd to 75th Street) Manhattan.",1966,1960s
126,You're a Big Boy Now (1966),"Alice in Wonderland, Central Park (East 74th Street) Manhattan.",1966,1960s
127,You're a Big Boy Now (1966),"Cherry Lane Theatre, 38 Commerce Street and Bedford Street, Manhattan.",1966,1960s
128,You're a Big Boy Now (1966),"Washington Square Gardens, Greenwich Village, Manhattan.",1966,1960s
129,You're a Big Boy Now (1966),"(Near) Pennsylvania Station, 8th Avenue and West 34th Street, Manhattan.",1966,1960s
130,You're a Big Boy Now (1966),"5th Avenue and West 39th Street, Manhattan.",1966,1960s
131,You Don't Mess with the Zohan (2008),"Hair Salon, 5th Avenue and East 53rd Street, Manhattan.",2008,2000s
132,You Don't Mess with the Zohan (2008),"Park Avenue and East 52nd Street, Manhattan.",2008,2000s
133,You Don't Mess with the Zohan (2008),"Greywacke Arch, Central Park, Manhattan.",2008,2000s
134,You Don't Mess with the Zohan (2008),"Sheep Meadow, Central Park (btw 66th and 69th Street) Manhattan.",2008,2000s
135,X/Y (2014),"Manhattan Bridge, East River, Lower Manhattan.",2014,2010s
136,X/Y (2014),"Subway Station, Bleecker Street and Mulberry Street, Manhattan.",2014,2010s
137,XX/XY (2002),"Washington Square Gardens, Greenwich Village, Manhattan.",2002,2000s
138,XX/XY (2002),"Cafe, 108 Duane Street (btw Trimble Place & Broadway) Manhattan.",2002,2000s
139,XX/XY (2002),80 Leonard Street (btw Church Street and Broadway) Manhattan.,2002,2000s
140,X-Men (2000),"Statue of Liberty, Liberty Island, New York Harbor.",2000,2000s
141,The Wrong Man (1956),"Stork Club, 3 East 53rd Street and 5th Avenue, Manhattan.",1956,1950s
142,The Wrong Man (1956),"Subway Station, East 53rd Street and 5th Avenue, Manhattan.",1956,1950s
143,World Trade Center (2006),"Staten Island Ferry, New York Harbour.",2006,2000s
144,World Trade Center (2006),"Port Authority Bus Terminal, 625 8th Avenue and West 42nd Street, Manhattan.",2006,2000s
145,World Trade Center (2006),"World Trade Center, Financial, Manhattan.",2006,2000s
146,The World of Henry Orient (1964),"East 47th Street and 1st Avenue, Manhattan.",1964,1960s
147,The World of Henry Orient (1964),"East 83rd Street and East End Avenue, Manhattan.",1964,1960s
148,The World of Henry Orient (1964),"(Near East River) East 83rd Street and East End Avenue, Manhattan.",1964,1960s
149,The World of Henry Orient (1964),"Conservatory Water Central Park, (from 72nd to 75th Street) Manhattan.",1964,1960s
150,The World of Henry Orient (1964),"Alice in Wonderland, Central Park (East 74th Street) Manhattan.",1964,1960s
151,The World of Henry Orient (1964),"Bow Bridge (Mid-Park at 74th Street) Central Park, Manhattan.",1964,1960s
152,The World of Henry Orient (1964),"Washington Mews and 5th Avenue, Manhattan.",1964,1960s
153,The World of Henry Orient (1964),"Washington Square North, Greenwich Village, Manhattan.",1964,1960s
154,The World of Henry Orient (1964),"Washington Square Gardens, Greenwich Village, Manhattan.",1964,1960s
155,The World of Henry Orient (1964),"10 Grove Street and Bedford Street, Manhattan.",1964,1960s
156,The World of Henry Orient (1964),"The Mall, Central Park, Manhattan.",1964,1960s
157,Working Girl (1988),"Statue of Liberty, Liberty Island, New York Harbor.",1988,1980s
158,Working Girl (1988),"Staten Island Ferry, New York Harbour.",1988,1980s
159,Working Girl (1988),"Tess's Workplace, 1 New York Plaza, Water Street and Broad Street, Manhattan.",1988,1980s
160,Working Girl (1988),"Carnegie Hill Mansion, 2 East 91st Street and 5th Avenue, Manhattan.",1988,1980s
161,Working Girl (1988),"South Street Seaport, East River, Manhattan.",1988,1980s
162,Working Girl (1988),"Katherine's Brownstone, 80 Irving Place and East 19th Street, Manhattan.",1988,1980s
163,Working Girl (1988),"Apartment, 506 Richmond Terrace and York Avenue, Staten Island.",1988,1980s
164,Working Girl (1988),"St. Stanislaus Kostka, 109 York Avenue, Staten Island.",1988,1980s
165,Woo (1998),"West 42nd Street and 6th Avenue, Manhattan.",1998,1990s
166,Woo (1998),5th Avenue (btw East 49th and 50th Streets) Manhattan.,1998,1990s
167,Woo (1998),"Washington Square Gardens, Greenwich Village, Manhattan.",1998,1990s
168,The Women (2008),"Saks Department Store, 5th Avenue and East 50th Street, Manhattan.",2008,2000s
169,The Wolf of Wall Street (2013),"Nassau Street and Wall Street, Manhattan.",2013,2010s
170,The Wolf of Wall Street (2013),"Restaurant, 666 5th Avenue and West 52nd Street, Manhattan.",2013,2010s
171,The Wolf of Wall Street (2013),"Rao's, 455 East 114th Street and Pleasant Avenue, Harlem.",2013,2010s
172,The Wolf of Wall Street (2013),North Cove Marina (Near World Trade Center) Manhattan.,2013,2010s
173,The Wolf of Wall Street (2013),"26 Federal Plaza on Broadway and Thomas Street, Manhattan.",2013,2010s
174,The Wolf of Wall Street (2013),"(Near) Trump Tower, 725 5th Avenue and East 56th Street, Manhattan.",2013,2010s
175,The Wolf of Wall Street (2013),"Shalimar Diner, 6368 Austin Street, Flushing, Queens.",2013,2010s
176,The Wolf of Wall Street (2013),"Equitable Building, 120 Broadway and Pine Street, Manhattan.",2013,2010s
177,The Wolf of Wall Street (2013),"Milan Condominium, 300 East 55th Street (btw 1st and 2nd Avenues) Manhattan.",2013,2010s
178,The Wolf of Wall Street (2013),"The Four Seasons Restaurant, 99 East 52nd Street & Park Avenue, Manhattan.",2013,2010s
179,Wolfen (1981),"Brooklyn Bridge, Lower East Side, Manhattan.",1981,1980s
180,Wolfen (1981),"Battery Park, Manhattan.",1981,1980s
181,Wolfen (1981),"Pedestrian Tunnel, (near Children's Zoo) Central Park, Manhattan.",1981,1980s
182,Wolfen (1981),"Manhattan Bridge, East River, Lower Manhattan.",1981,1980s
183,Wolfen (1981),"Federal Hall, Wall Street, Manhattan.",1981,1980s
184,Wolf (1994),"East 14th Street and Broadway, Manhattan.",1994,1990s
185,Wolf (1994),"Mayflower Hotel, 15 Central Park West and 61st Street, Manhattan.",1994,1990s
186,The Wiz (1978),"World Trade Center, Financial, Manhattan.",1978,1970s
187,Winter's Tale (2014),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",2014,2010s
188,Winter's Tale (2014),"(Near) Mayor's Office, 51 Chambers Street and Centre Street, Manhattan.",2014,2010s
189,Winter's Tale (2014),"Bandshell, Central Park (from 66th to 72nd Street) Manhattan.",2014,2010s
190,Winter's Tale (2014),"The Mall, Central Park, Manhattan.",2014,2010s
191,Winter's Tale (2014),"New York Sun, 292 West 41st Street and 8th Avenue, Manhattan.",2014,2010s
192,Winter's Tale (2014),53 Prospect Park West (btw 1st & 2nd Streets) Brooklyn.,2014,2010s
193,Winter's Tale (2014),"New York Public Library, 5th Avenue (btw 40th and 42nd Street) Manhattan.",2014,2010s
194,Winter's Tale (2014),"Gramercy Theatre, 127 East 23rd Street and Lexington Avenue, Manhattan.",2014,2010s
195,Winter's Tale (2014),Gansevoort Street (btw Greenwich & Washington Streets) Manhattan.,2014,2010s
196,Winter's Tale (2014),"(Near) Brooklyn Bridge, Lower East Side, Manhattan.",2014,2010s
197,Winter Passing (2005),"Pink Pony Cafe, 176 Ludlow Street and Stanton Street, Manhattan.",2005,2000s
198,Winter Passing (2005),"Ludlow Street and Stanton Street, Manhattan.",2005,2000s
199,Winter Passing (2005),"Commerce Street and Barrow Street, Manhattan.",2005,2000s
200,Willie and Phil (1980),"Cinema, 144 Bleecker Street and Laguardia Place, Manhattan.",1980,1980s
201,Willie and Phil (1980),"Washington Square Gardens, Greenwich Village, Manhattan.",1980,1980s
202,Willie and Phil (1980),"George Washington Bridge, Manhattan.",1980,1980s
203,Willie and Phil (1980),"6th Avenue and West 3rd Street, Manhattan.",1980,1980s
204,Willie and Phil (1980),"Sheridan Square and Grove Street, Manhattan.",1980,1980s
205,Wild Orchid (1989),"Top of the Rock, 45 Rockefeller Plaza, Manhattan.",1989,1980s
206,Wild Orchid (1989),"West 47th Street and 6th Avenue, Manhattan.",1989,1980s
207,Who's That Girl (1987),"Trump Tower, Madison Avenue (btw West 56th and 57th Street) Manhattan.",1987,1980s
208,Who's That Girl (1987),"324 West 105th Street and Riverside Drive, Manhattan.",1987,1980s
209,Who's That Girl (1987),"5th Avenue and East 83rd Street, Manhattan.",1987,1980s
210,Who's That Girl (1987),"Wendy Worthington's Apartment, 16 East 94th Street & 5th Avenue, Manhattan.",1987,1980s
211,Who's That Girl (1987),"East 94th Street and 5th Avenue, Manhattan.",1987,1980s
212,Whore 2 (1994),"Port Authority Bus Terminal, 625 8th Avenue and West 42nd Street, Manhattan.",1994,1990s
213,Whore 2 (1994),"Playground, West 46th Street (btw 9th and 10th Avenues) Manhattan.",1994,1990s
214,Whore 2 (1994),"406 West 48th Street and 9th Avenue, Manhattan.",1994,1990s
215,Whore 2 (1994),"Hotel, 408 West 48th Street and 9th Avenue, Manhattan.",1994,1990s
216,Whore 2 (1994),West 48th Street (btw 9th and 10th Avenues) Manhattan.,1994,1990s
217,White Slaves of Chinatown (1964),East Broadway (btw Catherine Street and Market Street) Manhattan.,1964,1960s
218,White Slaves of Chinatown (1964),"Olga's Apartment, 22 East Broadway and Catherine Street, Manhattan.",1964,1960s
219,Whirlygirl (2006),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",2006,2000s
220,Whipped (2000),"Market, 1291 Madison Avenue and East 92nd Street, Manhattan.",2000,2000s
221,Whipped (2000),"Battery Park, Manhattan.",2000,2000s
222,Whipped (2000),"Wythe Avenue and North 3rd Street, Brooklyn.",2000,2000s
223,Whipped (2000),"Relish Diner, 225 Wythe Avenue and North 3rd Street, Brooklyn.",2000,2000s
224,Whipped (2000),"Washington Square Gardens, Greenwich Village, Manhattan.",2000,2000s
225,Whipped (2000),"Subway, Battery Place and Broadway, Manhattan.",2000,2000s
226,Whipped (2000),"Magazine Shop, 551 Hudson Street and Perry Street, Manhattan.",2000,2000s
227,Whipped (2000),"Madison Square Park, Madison Avenue and East 25th Street, Manhattan.",2000,2000s
228,Whiplash (2014),"Alpine Cinema, 6817 5th Avenue and Bay Ridge Avenue, Brooklyn.",2014,2010s
229,While We're Young (2014),"Decatur Street and Tompkins Avenue, Brooklyn.",2014,2010s
230,While We're Young (2014),"Park Avenue and East 48th Street, Manhattan.",2014,2010s
231,While We're Young (2014),"Gramercy Park South and Gramercy Park West, Manhattan.",2014,2010s
232,While We're Young (2014),"Lincoln Center, 10 Lincoln Center Plaza, Manhattan.",2014,2010s
233,While We're Young (2014),"Time Warner Center, 10 Columbus Circle and Broadway, Manhattan.",2014,2010s
234,Where God Left His Shoes (2007),"Washington Square Gardens, Greenwich Village, Manhattan.",2007,2000s
235,Where God Left His Shoes (2007),5th Avenue (btw East 49th and 50th Streets) Manhattan.,2007,2000s
236,Where God Left His Shoes (2007),"Hester Street and Mulberry Street, Manhattan.",2007,2000s
237,When Will I Be Loved? (2004),"Times Square, Manhattan.",2004,2000s
238,When Will I Be Loved? (2004),"Barnard College, 3009 Broadway and West 117th Street, Manhattan.",2004,2000s
239,When Will I Be Loved? (2004),"West 116th Street and Broadway, Manhattan.",2004,2000s
240,When Will I Be Loved? (2004),"177 Perry Street and West Street, Manhattan.",2004,2000s
241,When Will I Be Loved? (2004),"Greenwich Street and Perry Street, Manhattan.",2004,2000s
242,When Will I Be Loved? (2004),"Greenwich Street and Barrow Street, Manhattan.",2004,2000s
243,When Will I Be Loved? (2004),"Greenwich Street and Barrow Street, Manhattan.",2004,2000s
244,When in Rome (2010),"Guggenheim Museum, 1071 5th Avenue and East 89th Street, Manhattan.",2010,2010s
245,When in Rome (2010),"Beth's Apartment, 28 West 76th Street and Central Park West, Manhattan.",2010,2010s
246,When in Rome (2010),"Bow Bridge (Mid-Park at 74th Street) Central Park, Manhattan.",2010,2010s
247,When in Rome (2010),"The Mall, Central Park, Manhattan.",2010,2010s
248,When in Rome (2010),"Bethesda Terrace, (Mid-Park at 72nd Street) Central Park, Manhattan.",2010,2010s
249,When in Rome (2010),"Cherry Hill, Central Park, Manhattan.",2010,2010s
250,When in Rome (2010),"Edwards Restaurant, 136 West Broadway and Thomas Street, Manhattan.",2010,2010s
251,When in Rome (2010),"Merchant's Gate Fountain, Columbus Circle and Central Park West, Manhattan.",2010,2010s
252,When in Rome (2010),"East 83rd Street and Madison Avenue, Manhattan.",2010,2010s
253,When in Rome (2010),"White Street and Broadway, Manhattan.",2010,2010s
254,When in Rome (2010),"Blackout Restaurant, 337 West Broadway and Grand Street, Manhattan.",2010,2010s
255,When Harry Tries to Marry (2011),"26 New Dock St, Brooklyn.",2011,2010s
256,When Harry Tries to Marry (2011),"Brooklyn Bridge, Lower East Side, Manhattan.",2011,2010s
257,When Harry Tries to Marry (2011),"Pace University, 161 William Street and Spruce Street, Manhattan.",2011,2010s
258,When Harry Met Sally (1989),"Washington Square Park, Greenwich Village, Manhattan.",1989,1980s
259,When Harry Met Sally (1989),"Loeb Boathouse, Central Park (btw 74th and 75th Street) Manhattan.",1989,1980s
260,When Harry Met Sally (1989),"West 77th Street and Central Park West, Manhattan.",1989,1980s
261,When Harry Met Sally (1989),"Katz's Delicatessen, 205 East Houston Street and Ludlow Street, Manhattan.",1989,1980s
262,When Harry Met Sally (1989),"Metropolitan Museum of Art, 1000 5th Avenue and East 82nd Street, Manhattan.",1989,1980s
263,When Harry Met Sally (1989),"Washington Square Gardens, Greenwich Village, Manhattan.",1989,1980s
264,When Harry Met Sally (1989),"Bethesda Terrace, (Mid-Park at 72nd Street) Central Park, Manhattan.",1989,1980s
265,When Harry Met Sally (1989),"Jess & Marie Brownstone, 32 West 89th Street and Central Park West, Manhattan.",1989,1980s
266,When Harry Met Sally (1989),"West 96th Street and Broadway, Manhattan.",1989,1980s
267,When Harry Met Sally (1989),"Cafe Luxembourg, 200 West 70th Street and Amsterdam Avenue, Manhattan.",1989,1980s
268,When Harry Met Sally (1989),West Broadway (btw Prince Street and West Houston Street) Manhattan.,1989,1980s
269,What Maisie Knew (2012),"Downing Street and 6th Avenue, Manhattan.",2012,2010s
270,What Maisie Knew (2012),"Elisabeth Irwin High School, 276 6th Avenue and Bleecker Street, Manhattan.",2012,2010s
271,What Maisie Knew (2012),"6th Avenue and Bleecker Street, Manhattan.",2012,2010s
272,What Maisie Knew (2012),"Conservatory Water Central Park, (from 72nd to 75th Street) Manhattan.",2012,2010s
273,What Maisie Knew (2012),"Hudson Street and West 11th Street, Manhattan.",2012,2010s
274,What Maisie Knew (2012),"High Line, 10th Avenue and West 17th Street, Manhattan.",2012,2010s
275,What Maisie Knew (2012),"Gapstow Bridge, Central Park, Manhattan.",2012,2010s
276,What Maisie Knew (2012),"Pond (Near Gapstow Bridge) Central Park, Manhattan.",2012,2010s
277,Whatever Works (2009),"Cafe Vivaldi, 32 Jones Street and Bleecker Street, Manhattan.",2009,2000s
278,Whatever Works (2009),"Yonah Schimmel's Bakery, 137 E Houston Street and Forsyth Street, Manhattan.",2009,2000s
279,Whatever Works (2009),"Battery Park, Manhattan.",2009,2000s
280,Whatever Works (2009),"East 10th Street and Stuyvesant Street, Manhattan.",2009,2000s
281,Whatever Works (2009),"Courthouse, 1 Centre Street, Manhattan.",2009,2000s
282,Whatever Works (2009),1st Avenue and East 43rd Street (near United Nations Plaza) Manhattan.,2009,2000s
283,Whatever Works (2009),"Times Square, Manhattan.",2009,2000s
284,West 32nd (2007),West 32nd Street (btw 5th and 6th Avenue) Manhattan.,2007,2000s
285,West Side Story (1961),"Playground, 110th Street (btw 2nd and 3rd Avenues) Manhattan.",1961,1960s
286,West Side Story (1961),110th Street (btw 2nd and 3rd Avenues) Manhattan.,1961,1960s
