,cost
265,2.83491817964
266,2.74867434886
267,21.4663676881
268,11.9016486482
269,6.16504287153
270,4.25098623994
271,3.10199584917
272,2.78762317566
273,2.64573816373
274,2.562276392
275,21.4663676881
276,11.9016486482
277,6.16504287153
278,4.25098623994
279,3.10199584917
280,2.78762317566
281,2.64573816373
282,2.562276392
283,28.5244515171
284,16.6645337547
285,9.54802668551
286,7.17771236848
287,5.75329813101
288,5.34433544955
289,5.1579374927
290,5.0466551304
291,28.571746521
292,16.7118287587
293,9.59532168949
294,7.2222253134
295,5.80059313499
296,5.39163045353
297,5.20523249668
298,5.09395013437
299,25.3362118371
300,15.7937492697
301,12.6138557669
302,11.022517986
303,14.1551164848
304,9.16688459463
305,7.45870033329
306,6.14556845813
307,5.13011690212
308,4.62656421271
309,28.2351173751
310,16.3751996127
311,9.25869254353
312,6.88837822649
313,5.46396398903
314,5.05778336663
315,4.86860335071
316,4.75732098841
317,3.47479176288
318,1.64697896207
319,2.35640402174
320,22.2147415745
321,18.0082682795
322,15.905031632
323,14.6419768199
324,13.8017949845
325,259.855444211
326,141.612370147
327,102.198939479
328,21.9921768499
329,12.4274578101
330,6.68806997435
331,4.77679540181
332,3.62780501104
333,3.31343233754
334,3.17154732561
335,3.08530349482
336,22.0672924445
337,12.5025734046
338,6.7631855689
339,4.84912893731
340,3.7029206056
341,3.38576587304
342,3.24666292016
343,3.16041908938
344,21.8280353655
345,12.2633163257
346,6.52392848995
347,4.61265391742
348,3.46366352665
349,3.14929085315
350,3.00740584121
351,2.92394406948
352,21.7612659482
353,12.1965469083
354,6.45715907257
355,4.54588450004
356,3.39689410927
357,3.08252143577
358,2.94063642383
359,2.8571746521
360,21.8280353655
361,12.2633163257
362,6.52392848995
363,4.61265391742
364,3.46366352665
365,3.14929085315
366,3.00740584121
367,2.92394406948
368,21.4747138652
369,11.9099948254
370,6.1733890487
371,4.25933241711
372,3.11034202634
373,2.79596935284
374,2.6540843409
375,2.57062256918
376,18.464525965
377,12.9004078499
378,11.0475565175
379,10.1183487923
380,12.2521880894
381,8.54648542479
382,7.59780328617
383,6.40986406859
384,5.69765694986
385,25.7006615736
386,15.5099792458
387,9.3977954964
388,7.35854620722
389,6.1344402219
390,5.79502901688
391,5.64201576871
392,5.55020781981
393,21.6277271134
394,12.0630080735
395,6.32362023781
396,4.40956360622
397,3.26335527451
398,2.94620054195
399,2.80431553001
400,2.72085375828
401,50.4943718945
402,32.3581288984
403,19.0598866033
404,0.934771843337
405,1.99195428521
406,9.45621873661
407,3.0407905499
408,24.6907741358
409,14.5000918079
410,8.38512599945
411,6.34587671027
412,5.12455278401
413,4.78235951993
414,4.62934627176
415,4.53753832286
416,30.7028037591
417,18.8428859968
418,11.7291609866
419,9.35606461054
420,7.93165037307
421,7.52546975067
422,7.33907179382
423,7.22500737246
424,6.2457225842
425,6.66303144283
426,11.7347251047
427,18.8484501149
428,15.1371833321
429,12.3551242746
430,11.4259165494
431,22.6153580788
432,19.1489124931
433,17.4156897003
434,16.0357884077
435,22.3260239368
436,12.761304897
437,7.02191706126
438,5.10786042966
439,3.96165209795
440,3.64449736539
441,3.50261235346
442,3.41915058173
443,21.2855338493
444,11.7208148095
445,5.98142697373
446,4.06737034214
447,2.92116201043
448,2.60400727787
449,2.46212226593
450,2.3786604942
451,27.3086917089
452,17.1180093811
453,11.0030435726
454,8.96379428343
455,7.74247035716
456,7.40027709308
457,7.24726384492
458,7.15545589602
459,22.6598710237
460,13.0951519839
461,7.35576414816
462,5.44170751657
463,4.29549918486
464,3.9783444523
465,3.83645944036
466,3.75299766863
467,1.71374837945
468,4.2732427124
469,8.00676596763
470,23.0048463469
471,26.0289445424
472,20.2450437618
473,17.3517023419
474,14.5362585757
475,27.5201281973
476,17.3294458695
477,11.214480061
478,9.1752307718
479,7.95390684553
480,7.61171358146
481,7.45870033329
482,7.36689238439
483,17.7940497321
484,20.1421075767
485,13.8351796932
486,11.8710459986
487,10.733183844
488,2.19504459641
489,2.38700667138
490,6.88559616744
491,3.26057321545
492,3.54434323932
493,11.4509550809
494,8.1263945071
495,1.65254308018
496,9.34771843337
497,7.08034030146
498,21.3077903218
499,11.7430712819
500,6.00368344619
501,4.09240887366
502,2.94341848289
503,2.62904580938
504,2.48716079745
505,2.40091696667
506,11.8515715852
507,11.503814203
508,9.04447399609
509,13.4762940748
510,3.51095853063
511,3.16320114843
512,29.2032739271
513,6.78544204136
514,2.65130228184
515,1.41328600124
516,3.68622825125
517,26.0289445424
518,15.8382622146
519,9.72329640614
520,7.68404711695
521,6.46272319069
522,6.12052992661
523,5.96751667844
524,5.87570872954
525,100.735576415
526,69.7490026318
527,54.2529336813
528,71.8021622163
529,56.7317483016
530,49.1979323737
531,44.6770864052
532,8.05962508972
533,21.463585629
534,11.8988665891
535,6.16226081247
536,4.24820418088
537,3.09921379011
538,2.78484111661
539,2.64295610467
540,2.55949433295
541,1.59968395809
542,1.99195428521
543,28.4159512138
544,16.5560334515
545,9.43952638227
546,7.06643000618
547,5.64479782777
548,5.23583514631
549,5.04943718945
550,4.93815482715
551,136.26247058
552,48.1574422862
553,30.5414443338
554,22.9825898744
555,18.7872448156
556,5.97586285562
557,22.0672924445
558,12.5025734046
559,6.76596762796
560,4.85191099637
561,3.7029206056
562,3.3885479321
563,20.011350801
564,17.4101255821
565,14.8617594854
566,13.8713464609
567,124.046449258
568,54.5255754689
569,36.1333830395
570,24.7742359075
571,2.34249372646
572,1.89180015913
573,1.74156897003
574,1.66645337547
575,29.3813257068
576,24.1844393873
577,21.9643562594
578,18.6509239218
579,17.304407338
580,10.1461693829
581,1.58299160375
582,1.59133778092
583,27.8595394023
584,15.99962164
585,8.88311457076
586,6.51001819467
587,5.08838601626
588,4.6794233348
589,4.49302537794
590,4.38174301564
591,27.9040523472
592,16.0441345849
593,8.92762751568
594,6.55453113959
595,5.13289896118
596,4.72393627972
597,4.53753832286
598,4.4234739015
599,35.8746515471
600,7.53103386879
601,2.30354489965
602,21.5498294598
603,11.9851104199
604,6.2457225842
605,4.33444801166
606,3.18545762089
607,2.87108494739
608,2.72919993546
609,2.64295610467
610,21.268841495
611,11.7041224551
612,5.96473461939
613,4.05346004685
614,2.90446965608
615,2.59009698258
616,2.44821197064
617,2.36196813986
618,66.2909032233
619,20.5176855494
620,14.794990068
621,7.97894537705
622,5.44170751657
623,22.0283436177
624,12.4636245778
625,6.72701880116
626,4.81296216956
627,3.66397177879
628,3.34959910529
629,3.20771409335
630,3.12425232163
631,0.868002425955
632,21.2799697312
633,11.7152506913
634,5.97586285562
635,4.06180622402
636,2.91559789231
637,2.59844315975
638,2.45655814782
639,2.37309637609
640,28.2685020838
641,16.4085843214
642,9.29207725222
643,6.91898087613
644,5.49734869772
645,5.08838601626
646,4.9019880594
647,4.78792363804
648,28.2879764972
649,16.4280587348
650,9.31155166562
651,6.93845528953
652,5.51682311112
653,5.10786042966
654,4.92146247281
655,4.80739805145
656,2.82378994341
657,2.47603256122
658,28.6440800565
659,18.4533977287
660,12.3384319202
661,10.299182631
662,9.07785870478
663,8.73566544071
664,27.892924111
665,17.7022417832
666,11.5872759747
667,9.55080874457
668,8.32670275925
669,7.98729155423
670,17.4546385271
671,9.55915492174
672,4.82130834673
673,3.24109880205
674,2.29519872248
675,2.0448134073
676,1.93909516311
677,1.87232574573
678,13.2398190549
679,6.54340290336
680,5.1774119061
681,4.17308858632
682,3.66675383785
683,5.91465755635
684,9.38110314206
685,8.35452334982
686,7.17771236848
687,6.15113257624
688,5.71434930421
689,21.2827517903
690,15.6880310255
691,10.9835691592
692,9.3977954964
693,8.64663955086
694,7.03026323843
695,6.05097845017
696,4.81852628768
697,14.1384241305
698,1.37990129254
699,21.463585629
700,11.8988665891
701,6.16226081247
702,4.24820418088
703,3.09921379011
704,2.78484111661
705,2.64295610467
706,2.55949433295
707,21.9615742003
708,12.3968551604
709,6.66024938377
710,4.74619275218
711,3.59720236141
712,3.28282968791
713,3.14094467597
714,3.05748290425
715,21.8280353655
716,12.2633163257
717,6.52392848995
718,4.60987185836
719,3.46366352665
720,3.14650879409
721,3.00462378215
722,2.92116201043
723,9.81788641409
724,7.84262448323
725,6.79935233665
726,5.61697723719
727,5.06056542568
728,4.75175687029
729,4.64325656705
730,27.4450126027
731,23.2162828353
732,6.31527406064
733,7.82036801077
734,8.26827951904
735,6.62408261603
736,14.1022573627
737,9.67600140216
738,8.1987280426
739,7.01635294314
740,6.13165816284
741,5.68931077269
742,14.1022573627
743,9.67600140216
744,8.1987280426
745,7.01635294314
746,6.13165816284
747,5.68931077269
748,14.0327058863
749,7.21387913623
750,4.71002598443
751,9.16688459463
752,6.38482553708
753,5.45839987091
754,4.9937960083
755,22.13962598
756,12.5749069401
757,6.8355191044
758,4.92424453186
759,3.77525414109
760,3.46088146759
761,3.31899645566
762,3.23275262487
763,4.76010304747
764,3.98947268853
765,3.7947285545
766,3.60276647953
767,12.9866516806
768,10.0348870206
769,6.20955581645
770,3.91435709397
771,5.01883453982
772,19.3297463319
773,14.5946818159
774,11.8543536442
775,8.91093516133
776,5.31373279992
777,16.3807637309
778,24.4459529387
779,14.2552706109
780,8.14308686145
781,6.10383757226
782,4.87973158694
783,4.54032038192
784,5.28591220934
785,4.96875747678
786,4.75453892935
787,4.60430774024
788,4.49024331889
789,4.40121742904
790,9.10846135442
791,7.94834272742
792,21.416290625
793,11.8515715852
794,6.11218374944
795,4.2009091769
796,3.05191878613
797,2.73754611263
798,2.59566110069
799,2.50941726991
800,161.946439799
801,109.643729517
802,78.2621033479
803,68.1910495596
804,17.6493826611
805,9.75389905577
806,5.01605248076
807,3.43584293607
808,2.48994285651
809,2.23955754133
810,2.13383929714
811,2.06706987976
812,5.90352932012
813,5.90352932012
814,1.83615897798
815,5.09673219343
816,3.35794528246
817,2.77649493943
818,3.07417525859
819,6.71867262398
820,5.51682311112
821,3.99225474758
822,3.07417525859
823,1.39659364689
824,1.51900424542
825,12.0157130696
826,12.9365746176
827,5.84510607991
828,5.92578579258
829,5.14124513835
830,5.14124513835
831,5.14124513835
832,4.88529570506
833,4.88529570506
834,4.54032038192
835,4.54032038192
836,15.5044151277
837,3.0602649633
838,8.88589662981
839,7.77585506585
840,6.66581350189
841,5.99811932808
842,1.4355424737
843,29.4981721872
844,17.6382544249
845,10.5217473557
846,8.14865097956
847,6.72701880116
848,6.3180561197
849,6.13165816284
850,6.02037580054
851,23.4082449102
852,13.8435258704
853,8.1069200937
854,6.19286346211
855,5.0466551304
856,4.72950039783
857,4.5876153859
858,4.50415361417
859,4.10631916894
860,1.6775816117
861,1.8222486827
862,1.83337691893
863,1.99195428521
864,1.07109273716
865,1.16290068606
866,1.32426011139
867,15.373658352
868,8.97770457871
869,6.84664734063
870,5.78111872159
871,22.7516789726
872,120.207207759
873,68.9477696233
874,52.3249667544
875,42.6239268207
876,37.079283119
877,21.7640480072
878,12.1993289674
879,6.45994113163
880,4.54588450004
881,3.39967616833
882,3.08252143577
883,2.94063642383
884,2.8571746521
885,21.9114971373
886,12.3467780974
887,6.60739026168
888,4.69611568914
889,3.54712529838
890,3.23275262487
891,3.09086761294
892,3.00462378215
893,17.8079600274
894,9.91247642205
895,5.17462984704
896,3.59720236141
897,2.64852022279
898,2.40091696667
899,2.29241666342
900,2.2284293051
901,18.9402580638
902,11.0447744585
903,6.30692788347
904,4.72950039783
905,3.78081825921
906,3.53321500309
907,3.42471469984
908,3.36072734152
909,6.47385142692
910,50.5027180717
911,21.5887782866
912,12.0240592467
913,6.284671411
914,4.37061477941
915,3.2244064477
916,2.90725171514
917,2.7653667032
918,2.68190493148
919,21.4663676881
920,11.9016486482
921,6.16226081247
922,4.25098623994
923,3.10199584917
924,2.78484111661
925,2.64573816373
926,2.55949433295
927,198.218925791
928,102.212849774
929,69.0896546352
930,53.368238901
931,43.9370586959
932,13.0200363893
933,6.32640229687
934,4.96041129961
935,3.95608797984
936,3.44975323136
937,1.79999221023
938,9.81232229598
939,5.49456663866
940,28.8110036
941,16.9510858377
942,9.8373608275
943,7.46426445141
944,6.042632273
945,5.63366959154
946,5.44727163468
947,5.33320721332
948,28.4799385721
949,16.6200208098
950,9.50351374059
951,7.1304173645
952,5.70878518609
953,5.29982250463
954,5.11342454778
955,4.99936012642
956,29.634493081
957,17.7745753187
958,10.6580682495
959,8.28775393244
960,6.86333969498
961,6.45715907257
962,6.26797905666
963,6.15669669436
964,29.3145562894
965,17.4546385271
966,10.3381314579
967,7.96781714082
968,6.54340290336
969,6.13722228095
970,5.94804226504
971,5.83675990274
972,29.584416018
973,17.7244982556
974,10.6107732455
975,8.2376768694
976,6.81326263194
977,6.40708200954
978,6.22068405268
979,6.10661963132
980,29.4926080691
981,17.6326903067
982,10.5189652966
983,8.14586892051
984,6.7242367421
985,6.31527406064
986,6.12887610378
987,6.01481168242
988,25.4836609672
989,15.2929786394
990,9.17801283086
991,7.13876354167
992,5.91743961541
993,5.57524635133
994,5.42223310316
995,5.33042515427
996,27.9791679418
997,16.1192501794
998,9.00274311023
999,6.62964673414
1000,5.20801455573
1001,4.79905187427
1002,4.61265391742
1003,4.50137155512
1004,2.11992900185
1005,1.49118365485
1006,12.1520339634
1007,3.44418911325
1008,2.48716079745
1009,2.83491817964
1010,1.01823361506
1011,24.0036055485
1012,13.8129232207
1013,7.69795741224
1014,5.66149018211
1015,4.43738419679
1016,4.09519093271
1017,3.94217768455
1018,3.85036973565
1019,27.6898337998
1020,17.499151472
1021,11.3841856635
1022,9.34493637431
1023,8.12361244805
1024,7.78141918397
1025,7.6284059358
1026,7.5365979869
1027,21.8642021333
1028,4.94371894527
1029,1.8222486827
1030,4.55979479532
1031,21.2827517903
1032,4.35948654318
1033,1.24079833967
1034,50.7837060365
1035,50.7837060365
1036,24.5878379506
1037,4.86582129165
1038,1.22688804438
1039,1.4744913005
1040,6.29858170629
1041,400.978171965
1042,136.432176182
1043,80.1845061567
1044,4.18699888161
1045,4.82130834673
1046,220.889925051
1047,19.1489124931
1048,10.3659520484
1049,7.37802062062
1050,5.92856785164
1051,5.33877133144
1052,6.34309465121
1053,21.6944965308
1054,12.1297774909
1055,6.39038965519
1056,4.4763330236
1057,3.33012469189
1058,3.01296995933
1059,2.87108494739
1060,2.78762317566
1061,28.9111577261
1062,17.0512399637
1063,9.93751495357
1064,7.56441857748
1065,6.14000434001
1066,5.73382371761
1067,5.54742576075
1068,5.43336133939
1069,1.37711923349
1070,30.1408278295
1071,21.5080985739
1072,16.7452134674
1073,20.0196969781
1074,15.0147727336
1075,13.3483193581
1076,11.0086076907
1077,63.8816400795
1078,18.5507697957
1079,13.2175625824
1080,10.8222097339
1081,7.62284181769
1082,28.5912209344
1083,16.7313031721
1084,9.61479610289
1085,7.24448178586
1086,5.82006754839
1087,5.41388692599
1088,5.22748896914
1089,5.11342454778
1090,14.5167841623
1091,27.603589969
1092,15.7436722067
1093,8.62716513746
1094,6.25406876137
1095,4.83243658296
1096,4.4234739015
1097,4.23707594465
1098,4.12579358235
1099,6.9662758801
1100,17.88863974
1101,71.9162266377
1102,76.0726228696
1103,45.8483332684
1104,34.5503914357
1105,28.568964462
1106,443.604880844
1107,257.087295449
1108,186.570444517
1109,149.571841111
1110,21.4496753337
1111,11.8849562939
1112,6.14835051718
1113,4.23429388559
1114,3.08808555388
1115,2.77093082132
1116,2.62904580938
1117,2.54558403766
1118,41.7308858632
1119,5.52238722924
1120,2.91837995137
1121,2.82100788436
1122,2.82100788436
1123,29.1531968641
1124,27.1334219883
1125,5.57802841039
1126,1.59690189903
1127,27.0972552205
1128,5.54186164264
1129,1.56073513129
1130,1.39102952877
1131,30.4162516762
1132,20.8765711679
1133,16.7869443533
1134,13.7211152718
1135,2.32858343117
1136,2.46490432499
1137,82.763474903
1138,58.0893931216
1139,50.1438324533
1140,45.8928462133
1141,15.4098251198
1142,17.2376379206
1143,14.4249762134
1144,12.7028816568
1145,11.8849562939
1146,22.2592545195
1147,12.6945354796
1148,6.95514764387
1149,5.04387307134
1150,3.89488268057
1151,3.58051000707
1152,3.43862499513
1153,3.35238116435
1154,22.1340618619
1155,12.569342822
1156,6.82995498628
1157,4.91589835469
1158,3.76969002298
1159,3.45253529042
1160,3.31343233754
1161,3.22718850676
1162,2.09210841128
1163,28.1655658986
1164,16.3056481363
1165,9.18914106709
1166,6.81882675005
1167,5.39441251259
1168,4.98823189019
1169,4.79905187427
1170,4.68776951197
1171,1.2714009893
1172,2.35362196269
1173,1.4550168871
1174,173.027381025
1175,8.43242100343
1176,3.78360031827
1177,2.28128842719
1178,28.9389783166
1179,17.0790605543
1180,9.96255348509
1181,7.589457109
1182,6.16782493059
1183,5.75886224913
1184,5.57246429227
1185,5.45839987091
1186,29.5120824825
1187,17.6521647202
1188,10.5356576509
1189,8.16256127485
1190,6.74092909644
1191,6.33196641498
1192,6.14556845813
1193,6.03428609583
1194,29.3284665847
1195,17.4685488224
1196,10.3520417531
1197,7.98172743611
1198,6.55731319864
1199,6.15113257624
1200,5.96195256033
1201,5.85067019803
1202,20.3591081831
1203,10.7943891433
1204,5.05500130757
1205,3.14372673503
1206,1.99473634426
1207,1.68036367076
1208,1.53847865882
1209,1.4550168871
1210,21.7918685978
1211,12.2271495579
1212,6.48776172221
1213,4.57370509061
1214,3.4274967589
1215,3.11034202634
1216,2.96845701441
1217,25.5587765617
1218,94.8988165121
1219,21.9727024365
1220,12.4079833967
1221,6.66859556095
1222,4.75732098841
1223,3.60833059764
1224,3.29395792414
1225,3.1520729122
1226,3.06582908142
1227,21.5637397551
1228,11.9990207152
1229,6.26241493854
1230,4.34835830695
1231,3.20214997524
1232,2.88499524268
1233,2.74311023074
1234,2.65964845902
1235,25.5810330342
1236,15.3903507064
1237,9.27816695693
1238,7.23891766774
1239,6.01481168242
1240,5.6754004774
1241,5.52238722924
1242,5.42779722128
1243,11.5817118566
1244,2.96845701441
1245,8.65220366898
1246,687.157458979
1247,99.8063686896
1248,65.4980163919
1249,50.7864880956
1250,42.6155806435
1251,135.530789048
1252,84.404889747
1253,64.582718962
1254,54.3197030987
1255,28.0264629458
1256,16.1665451834
1257,9.05282017327
1258,6.67972379718
1259,5.25530955971
1260,4.84912893731
1261,4.66273098045
1262,4.54866655909
1263,28.4910668084
1264,16.631149046
1265,9.51464197682
1266,7.14432765979
1267,5.71991342232
1268,5.31095074086
1269,5.12455278401
1270,5.0132704217
1271,58.6569331694
1272,31.2981643974
1273,22.5569348386
1274,18.7983730519
1275,7.91774007779
1276,7.16936619131
1277,6.79378821854
1278,8.01789420386
1279,3.50539441251
1280,3.81142090884
1281,27.6453208549
1282,15.7854030925
1283,8.66889602332
1284,6.29579964723
1285,4.87416746883
1286,4.46520478737
1287,4.27880683051
1288,4.16752446821
1289,28.0681938316
1290,16.2082760693
1291,9.09176900007
1292,6.72145468304
1293,5.29704044557
1294,4.88807776411
1295,4.70167980726
1296,4.59039744496
1297,28.7247597692
1298,16.8648420069
1299,9.74833493765
1300,7.37523856156
1301,5.95360638316
1302,5.5446437017
1303,5.35824574484
1304,5.24696338254
1305,22.3733189408
1306,12.808599901
1307,7.06921206523
1308,5.1579374927
1309,4.00894710193
1310,3.69457442843
1311,3.55268941649
1312,3.46922764476
1313,22.4484345354
1314,12.8837154955
1315,7.14432765979
1316,5.23027102819
1317,4.08406269648
1318,3.76690796392
1319,3.62502295199
1320,3.54156118026
1321,22.7155122049
1322,13.150793165
1323,7.41140532931
1324,5.50013075678
1325,4.35114036601
1326,4.0367676925
1327,3.89488268057
1328,3.80863884979
1329,10.4577599973
1330,31.0700355547
1331,19.2101177924
1332,12.0936107232
1333,9.72329640614
1334,8.29888216867
1335,7.89270154627
1336,7.70352153036
1337,7.59223916805
1338,27.361550831
1339,5.80615725311
1340,1.82503074175
1341,3.31343233754
1342,22.1674465706
1343,12.6027275307
1344,6.86333969498
1345,4.95206512244
1346,3.80307473167
1347,3.48870205817
1348,3.34681704623
1349,3.26335527451
1350,28.3936947414
1351,16.533776979
1352,9.41726990981
1353,7.04695559277
1354,5.62254135531
1355,5.21636073291
1356,5.02718071699
1357,4.91589835469
1358,29.8459295694
1359,17.9860118071
1360,10.8695047378
1361,8.49640836176
1362,7.07477618335
1363,6.66581350189
1364,6.47941554503
1365,6.36535112367
1366,21.7779583025
1367,12.2132392626
1368,6.47663348598
1369,4.56257685438
1370,3.41358646361
1371,3.09921379011
1372,2.95732877818
1373,2.87386700645
1374,83.1752196436
1375,28.5411438714
1376,16.6812261091
1377,9.56471903986
1378,7.19162266377
1379,5.76999048536
1380,5.3610278039
1381,5.17462984704
1382,5.06334748474
1383,29.2783895217
1384,17.4184717593
1385,10.3019646901
1386,7.93165037307
1387,6.50723613561
1388,6.09827345415
1389,5.91187549729
1390,5.80059313499
1391,13.2092164052
1392,5.14680925647
1393,4.14248593669
1394,3.63336912916
1395,3.33847086906
1396,13.4540376023
1397,9.25034636635
1398,8.06240714878
1399,5.91187549729
1400,5.21357867385
1401,4.87694952788
1402,16.099775766
1403,27.653667032
1404,15.7937492697
1405,8.68002425955
1406,6.30692788347
1407,4.882513646
1408,4.4763330236
1409,4.28993506674
1410,4.17587064538
1411,21.268841495
1412,11.7041224551
1413,5.96473461939
1414,4.05346004685
1415,2.90446965608
1416,2.59009698258
1417,2.44821197064
1418,2.36196813986
1419,30.1046610617
1420,18.2447432994
1421,11.1282362302
1422,8.75792191317
1423,7.3335076757
1424,6.92454499424
1425,6.73814703739
1426,6.62686467508
1427,40.367676925
1428,27.2113196419
1429,22.8267945672
1430,20.6345320298
1431,1.39381158783
1432,29.8153269198
1433,17.9554091574
1434,10.8389020882
1435,8.46858777118
1436,7.04417353372
1437,6.63799291131
1438,6.4488128954
1439,6.3375305331
1440,33.4459139899
1441,23.0131925241
1442,19.5356187021
1443,8.42963894438
1444,9.59810374855
1445,10.2324132137
1446,8.09579185747
1447,7.28621267172
1448,6.09827345415
1449,2.88777730174
1450,25.8230721722
1451,15.6323898444
1452,9.51742403588
1453,7.48095680575
1454,6.25685082043
1455,5.91743961541
1456,5.76164430819
1457,5.66983635929
1458,27.8734496976
1459,6.85777557686
1460,2.97680319158
1461,12.2438419123
1462,8.05962508972
1463,2.62904580938
1464,9.73164258331
1465,2.92116201043
1466,6.7631855689
1467,2.44542991159
1468,5.39441251259
1469,22.81844839
1470,13.2537293502
1471,7.51434151444
1472,5.60028488285
1473,4.45407655114
1474,4.13692181858
1475,3.9978188657
1476,3.91157503491
1477,28.474374454
1478,16.6144566917
1479,9.49794962247
1480,7.12763530544
1481,5.70322106798
1482,5.29704044557
1483,5.10786042966
1484,4.99657806736
1485,6.3764793599
1486,6.22068405268
1487,22.2954212872
1488,12.7307022473
1489,6.99131441162
1490,5.08003983909
1491,3.93104944832
1492,3.61667677481
1493,3.47479176288
1494,3.3885479321
1495,21.6722400583
1496,12.1075210185
1497,6.37091524179
1498,4.45685861019
1499,3.30786821943
1500,2.99349554592
1501,2.85161053399
1502,2.76814876226
1503,13.1897419918
1504,2.40091696667
1505,28.4131691548
1506,16.5532513924
